,Gender,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,Average Score,WklyStudyHoursValue
47,male,associate's degree,free/reduced,completed,married,regularly,no,2.0,private,< 5,76,68,68,71.0,1.0
48,male,some college,standard,none,divorced,regularly,yes,3.0,school_bus,> 10,56,45,43,48.0,3.0
49,male,high school,standard,none,single,sometimes,yes,2.0,school_bus,5 - 10,88,78,75,80.0,2.0
50,female,some high school,free/reduced,completed,married,regularly,yes,2.0,private,> 10,75,86,90,84.0,3.0
51,female,high school,free/reduced,none,divorced,sometimes,yes,2.0,private,5 - 10,33,41,43,39.0,2.0
52,female,associate's degree,standard,completed,married,sometimes,yes,3.0,school_bus,> 10,84,86,87,86.0,3.0
53,male,associate's degree,standard,none,single,sometimes,no,2.0,private,5 - 10,52,55,49,52.0,2.0
54,male,associate's degree,standard,completed,married,regularly,no,1.0,private,> 10,61,60,60,60.0,3.0
55,female,some high school,free/reduced,none,single,regularly,yes,3.0,school_bus,> 10,0,17,10,9.0,3.0
56,male,some high school,free/reduced,none,married,sometimes,yes,2.0,school_bus,5 - 10,39,39,34,37.0,2.0
57,male,associate's degree,free/reduced,none,married,sometimes,yes,5.0,private,5 - 10,62,61,55,59.0,2.0
58,female,some high school,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,59,58,59,59.0,2.0
59,male,some high school,standard,none,married,never,yes,1.0,private,< 5,63,62,58,61.0,1.0
60,male,some high school,free/reduced,none,married,sometimes,yes,4.0,school_bus,5 - 10,45,37,37,40.0,2.0
61,female,some college,standard,none,married,regularly,no,3.0,school_bus,5 - 10,61,73,75,70.0,2.0
62,male,associate's degree,free/reduced,none,divorced,regularly,no,3.0,school_bus,5 - 10,62,58,57,59.0,1.8977295694940375
63,female,associate's degree,standard,none,single,sometimes,yes,3.0,school_bus,5 - 10,39,64,57,53.0,2.0
64,male,some college,standard,completed,divorced,sometimes,yes,3.0,private,> 10,64,55,64,61.0,3.0
65,female,associate's degree,free/reduced,none,single,regularly,yes,1.0,private,5 - 10,42,51,49,47.0,2.0
66,male,some high school,free/reduced,none,divorced,never,yes,3.0,school_bus,5 - 10,59,56,54,56.0,2.0
67,male,some high school,standard,none,married,sometimes,yes,2.0,private,< 5,47,48,40,45.0,1.0
68,male,associate's degree,free/reduced,none,divorced,sometimes,no,2.0,school_bus,5 - 10,44,41,38,41.0,2.0
71,female,some high school,standard,completed,divorced,sometimes,yes,2.0,school_bus,> 10,62,75,73,70.0,3.0
72,female,master's degree,standard,none,divorced,never,yes,1.0,school_bus,5 - 10,60,68,68,65.0,2.0
73,female,associate's degree,standard,none,married,regularly,yes,0.0,private,> 10,49,50,52,50.0,3.0
74,male,high school,free/reduced,none,married,sometimes,yes,0.0,private,5 - 10,49,45,45,46.0,1.8977295694940375
75,male,some college,free/reduced,completed,married,sometimes,no,2.0,school_bus,5 - 10,50,47,54,50.0,2.0
76,male,associate's degree,standard,none,married,regularly,yes,0.0,private,5 - 10,74,64,64,67.0,2.0
77,male,high school,free/reduced,none,married,never,yes,3.0,private,5 - 10,40,38,33,37.0,2.0
78,female,some college,standard,none,divorced,sometimes,yes,0.0,private,5 - 10,73,80,82,78.0,2.0
79,female,some college,free/reduced,none,married,sometimes,yes,2.0,school_bus,< 5,73,81,86,80.0,1.0
80,female,associate's degree,standard,none,single,sometimes,yes,0.0,private,5 - 10,71,71,74,72.0,2.0
81,female,some college,standard,none,divorced,regularly,yes,3.0,school_bus,< 5,57,69,67,64.0,1.0
82,female,some high school,standard,none,single,sometimes,yes,2.0,private,> 10,75,87,83,82.0,3.0
83,male,high school,free/reduced,none,divorced,regularly,no,4.0,school_bus,5 - 10,27,34,36,32.0,2.0
84,male,high school,standard,none,divorced,sometimes,no,1.0,school_bus,< 5,68,77,69,71.0,1.0
85,male,associate's degree,free/reduced,completed,married,regularly,no,3.0,private,> 10,45,46,52,48.0,3.0
86,female,some college,standard,none,married,regularly,yes,4.0,private,5 - 10,81,87,94,87.0,2.0
87,male,some high school,standard,completed,married,regularly,yes,5.0,school_bus,5 - 10,63,65,61,63.0,2.0
88,female,some college,standard,completed,married,never,yes,0.0,school_bus,< 5,59,69,66,65.0,1.0
89,female,some college,free/reduced,none,single,regularly,yes,2.0,school_bus,> 10,61,69,64,65.0,3.0
90,female,bachelor's degree,standard,none,married,regularly,yes,3.0,school_bus,< 5,64,66,62,64.0,1.0
91,male,some college,standard,none,married,sometimes,no,7.0,school_bus,5 - 10,79,67,67,71.0,2.0
92,male,bachelor's degree,standard,completed,single,sometimes,no,1.0,private,5 - 10,68,74,74,72.0,2.0
93,female,associate's degree,standard,none,married,regularly,yes,3.0,school_bus,5 - 10,87,92,91,90.0,2.0
94,male,high school,standard,completed,married,regularly,no,3.0,school_bus,5 - 10,61,44,48,51.0,2.0
95,male,some college,standard,completed,married,regularly,yes,1.0,school_bus,> 10,100,88,94,94.0,3.0
96,female,some college,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,58,67,72,66.0,2.0
97,female,master's degree,standard,none,married,sometimes,no,3.0,private,5 - 10,87,100,100,96.0,2.0
98,male,associate's degree,standard,completed,single,sometimes,yes,0.0,school_bus,5 - 10,66,63,64,64.0,2.0
99,female,associate's degree,free/reduced,none,married,sometimes,yes,2.0,school_bus,5 - 10,52,76,70,66.0,2.0
100,female,some high school,standard,none,single,regularly,no,3.0,school_bus,5 - 10,72,64,73,70.0,2.0
101,female,associate's degree,free/reduced,completed,single,sometimes,yes,4.0,school_bus,> 10,79,90,99,89.0,3.0
102,male,high school,standard,none,single,regularly,no,6.0,school_bus,5 - 10,63,55,50,56.0,2.0
103,male,associate's degree,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,54,53,47,51.0,2.0
104,female,some college,standard,none,married,never,yes,1.0,school_bus,< 5,47,56,51,51.0,1.0
105,female,bachelor's degree,standard,completed,married,regularly,yes,3.0,school_bus,< 5,98,99,100,99.0,1.0
106,male,high school,standard,none,married,sometimes,yes,4.0,private,5 - 10,84,77,74,78.0,2.0
107,female,bachelor's degree,free/reduced,none,single,never,no,1.0,school_bus,5 - 10,72,83,79,78.0,2.0
108,female,bachelor's degree,standard,none,married,never,no,2.0,private,5 - 10,75,80,77,77.0,2.0
109,female,some high school,standard,none,single,regularly,yes,0.0,private,> 10,54,64,63,60.0,3.0
110,female,some college,standard,none,divorced,sometimes,no,3.0,school_bus,5 - 10,55,69,65,63.0,2.0
111,female,bachelor's degree,standard,completed,married,never,yes,1.0,school_bus,5 - 10,76,90,86,84.0,2.0
112,male,associate's degree,standard,completed,married,sometimes,yes,3.0,school_bus,< 5,88,87,90,88.0,1.0
113,female,some college,standard,completed,single,regularly,yes,1.0,school_bus,5 - 10,90,94,95,93.0,2.0
114,male,high school,free/reduced,none,married,sometimes,no,3.0,private,5 - 10,63,57,56,59.0,1.8977295694940375
115,male,some college,standard,none,single,regularly,no,3.0,school_bus,< 5,82,79,73,78.0,1.0
116,female,high school,standard,none,single,never,yes,2.0,school_bus,> 10,86,94,85,88.0,3.0
117,male,associate's degree,standard,none,married,never,no,3.0,private,5 - 10,72,68,67,69.0,2.0
118,male,some college,standard,none,married,regularly,no,3.0,school_bus,< 5,64,76,74,71.0,1.0
119,male,master's degree,standard,none,single,never,yes,2.0,private,< 5,77,81,72,77.0,1.0
121,male,master's degree,standard,none,single,sometimes,no,1.0,school_bus,< 5,87,84,82,84.0,1.0
122,male,some high school,free/reduced,completed,single,regularly,yes,1.0,private,< 5,52,36,40,43.0,1.0
123,male,some college,free/reduced,completed,married,regularly,yes,2.0,school_bus,5 - 10,89,75,71,78.0,2.0
124,female,some college,standard,completed,married,never,no,6.0,school_bus,< 5,70,78,80,76.0,1.0
125,male,bachelor's degree,free/reduced,completed,married,sometimes,yes,1.0,private,> 10,76,80,76,77.0,3.0
126,male,bachelor's degree,standard,none,married,sometimes,yes,1.0,school_bus,< 5,56,54,47,52.0,1.0
127,male,some high school,standard,completed,divorced,sometimes,yes,1.0,private,5 - 10,51,54,41,49.0,2.0
128,male,high school,standard,none,divorced,sometimes,yes,0.0,school_bus,< 5,67,54,54,58.0,1.0
129,female,associate's degree,standard,none,married,sometimes,yes,1.0,private,5 - 10,59,66,67,64.0,2.0
130,male,some college,standard,completed,married,sometimes,yes,0.0,private,> 10,73,61,70,68.0,3.0
131,female,some high school,standard,none,married,sometimes,no,1.0,school_bus,5 - 10,76,72,71,73.0,2.0
132,female,some college,free/reduced,none,married,regularly,no,2.0,private,5 - 10,60,62,65,62.0,2.0
133,female,some college,free/reduced,completed,single,regularly,yes,1.0,private,< 5,41,54,54,50.0,1.0
134,male,high school,standard,none,single,sometimes,no,1.0,school_bus,5 - 10,57,43,47,49.0,2.0
135,male,some college,standard,none,divorced,sometimes,yes,3.0,private,> 10,90,74,79,81.0,3.0
136,female,some college,free/reduced,none,single,regularly,yes,1.0,school_bus,< 5,21,38,33,31.0,1.0
137,female,bachelor's degree,standard,completed,married,sometimes,yes,1.0,private,< 5,65,73,79,72.0,1.0
138,male,associate's degree,free/reduced,completed,married,regularly,no,3.0,private,5 - 10,100,100,95,98.0,2.0
139,male,some high school,standard,completed,married,sometimes,no,2.0,private,5 - 10,62,67,69,66.0,2.0
140,female,associate's degree,standard,completed,single,sometimes,yes,2.0,school_bus,< 5,57,68,64,63.0,1.0
141,male,bachelor's degree,standard,none,married,sometimes,no,1.0,school_bus,5 - 10,54,49,47,50.0,2.0
142,male,some high school,standard,none,single,never,no,2.0,school_bus,< 5,58,65,58,60.0,1.0
143,female,some college,standard,completed,married,regularly,yes,3.0,school_bus,< 5,69,88,88,82.0,1.0
144,female,high school,free/reduced,completed,married,regularly,yes,1.0,school_bus,5 - 10,67,75,79,74.0,2.0
146,female,associate's degree,standard,none,divorced,regularly,yes,2.0,private,5 - 10,62,87,89,79.0,2.0
147,male,associate's degree,free/reduced,none,married,regularly,no,3.0,school_bus,> 10,70,63,66,66.0,3.0
148,male,associate's degree,free/reduced,completed,single,sometimes,yes,2.0,private,5 - 10,82,78,74,78.0,2.0
149,female,some college,free/reduced,completed,married,sometimes,yes,3.0,school_bus,5 - 10,75,88,85,83.0,2.0
150,male,master's degree,free/reduced,none,single,never,no,2.0,school_bus,5 - 10,48,53,52,51.0,2.0
151,male,high school,standard,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,52,53,49,51.0,2.0
152,female,master's degree,standard,none,married,never,yes,3.0,private,< 5,76,89,86,84.0,1.0
153,female,bachelor's degree,standard,completed,married,sometimes,yes,0.0,school_bus,5 - 10,96,100,100,99.0,2.0
154,male,high school,free/reduced,completed,single,sometimes,yes,5.0,private,5 - 10,53,51,51,52.0,2.0
155,female,master's degree,free/reduced,completed,married,regularly,no,1.0,private,> 10,62,79,83,75.0,3.0
156,female,high school,standard,completed,married,regularly,yes,2.0,private,5 - 10,70,84,79,78.0,2.0
157,male,high school,standard,completed,divorced,regularly,yes,5.0,school_bus,> 10,76,75,77,76.0,3.0
158,male,some high school,standard,none,married,sometimes,no,3.0,school_bus,< 5,91,86,76,84.0,1.0
159,female,some college,standard,none,single,never,yes,3.0,school_bus,5 - 10,76,84,78,79.0,2.0
160,female,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,63,67,70,67.0,2.0
161,female,bachelor's degree,free/reduced,completed,married,sometimes,no,1.0,school_bus,< 5,41,50,52,48.0,1.0
162,female,master's degree,standard,completed,divorced,sometimes,yes,1.0,school_bus,5 - 10,81,92,89,87.0,2.0
163,female,high school,free/reduced,completed,married,sometimes,no,2.0,school_bus,< 5,44,53,56,51.0,1.0
164,female,associate's degree,standard,completed,married,regularly,yes,2.0,school_bus,< 5,70,76,77,74.0,1.0
165,female,master's degree,free/reduced,completed,divorced,regularly,yes,2.0,school_bus,5 - 10,54,72,65,64.0,2.0
166,female,some high school,standard,completed,divorced,regularly,yes,0.0,school_bus,5 - 10,99,100,100,100.0,2.0
167,male,master's degree,free/reduced,completed,single,sometimes,yes,2.0,private,< 5,60,68,75,68.0,1.0
168,female,some college,free/reduced,none,single,sometimes,yes,1.0,private,5 - 10,46,64,66,59.0,2.0
169,female,high school,standard,none,married,sometimes,yes,3.0,private,5 - 10,50,50,47,49.0,1.8977295694940375
170,female,associate's degree,standard,none,single,sometimes,no,2.0,private,< 5,63,67,68,66.0,1.0
171,male,associate's degree,free/reduced,completed,married,never,yes,5.0,private,< 5,61,65,62,63.0,1.0
172,male,high school,standard,none,married,never,yes,1.0,school_bus,< 5,75,73,62,70.0,1.0
173,male,some high school,standard,completed,married,sometimes,no,4.0,private,5 - 10,62,66,68,65.0,2.0
174,male,some high school,free/reduced,none,married,regularly,no,3.0,school_bus,< 5,47,51,45,48.0,1.0
175,female,bachelor's degree,standard,none,single,sometimes,yes,1.0,school_bus,< 5,74,86,85,82.0,1.0
176,female,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,66,65,69,67.0,2.0
177,male,some college,standard,completed,married,sometimes,no,2.0,school_bus,< 5,73,81,77,77.0,1.0
178,female,some high school,standard,none,single,sometimes,no,3.0,private,5 - 10,62,64,66,64.0,1.8977295694940375
179,male,some college,standard,completed,married,regularly,yes,4.0,school_bus,5 - 10,79,62,63,68.0,1.8977295694940375
181,male,associate's degree,standard,none,married,regularly,no,4.0,school_bus,< 5,60,54,52,55.0,1.0
182,male,associate's degree,free/reduced,completed,married,never,yes,1.0,school_bus,5 - 10,57,67,63,62.0,2.0
183,male,high school,free/reduced,none,married,never,no,7.0,private,> 10,56,56,52,55.0,3.0
184,female,some college,free/reduced,none,widowed,regularly,yes,3.0,school_bus,> 10,47,54,57,53.0,3.0
185,female,bachelor's degree,free/reduced,none,married,regularly,yes,3.0,private,5 - 10,80,80,77,79.0,2.0
186,female,associate's degree,standard,completed,single,regularly,no,1.0,private,< 5,66,83,86,78.0,1.0
187,female,some college,free/reduced,none,divorced,sometimes,yes,3.0,school_bus,< 5,63,79,75,72.0,1.0
188,male,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,69,77,69,72.0,2.0
190,male,some college,standard,none,single,regularly,yes,1.0,school_bus,< 5,58,40,42,47.0,1.0
191,male,some high school,standard,completed,married,never,yes,2.0,school_bus,< 5,71,69,76,72.0,1.0
192,male,bachelor's degree,standard,none,married,regularly,yes,4.0,school_bus,5 - 10,84,62,63,70.0,2.0
193,male,high school,standard,completed,married,regularly,no,2.0,school_bus,5 - 10,83,81,77,80.0,2.0
194,female,some college,free/reduced,none,married,regularly,yes,1.0,private,< 5,73,80,76,76.0,1.0
195,female,some college,free/reduced,none,single,sometimes,no,2.0,school_bus,5 - 10,58,61,66,62.0,1.8977295694940375
196,male,some high school,free/reduced,completed,widowed,sometimes,yes,3.0,school_bus,< 5,77,77,77,77.0,1.0
197,male,some college,free/reduced,none,married,sometimes,yes,3.0,school_bus,5 - 10,35,28,27,30.0,2.0
198,female,high school,free/reduced,none,divorced,sometimes,yes,2.0,school_bus,5 - 10,42,62,60,55.0,2.0
199,male,associate's degree,free/reduced,completed,single,regularly,no,1.0,school_bus,5 - 10,61,51,57,56.0,2.0
200,male,high school,standard,none,married,sometimes,yes,1.0,private,5 - 10,87,91,81,86.0,2.0
202,female,associate's degree,free/reduced,completed,married,sometimes,yes,3.0,school_bus,< 5,80,84,86,83.0,1.0
203,female,high school,free/reduced,none,married,regularly,no,3.0,school_bus,< 5,33,41,39,38.0,1.0
204,male,high school,free/reduced,none,married,sometimes,no,2.0,school_bus,< 5,64,75,68,69.0,1.0
205,male,some high school,standard,completed,single,never,no,1.0,school_bus,5 - 10,59,55,54,56.0,2.0
206,female,high school,standard,completed,widowed,regularly,yes,4.0,school_bus,5 - 10,57,69,75,67.0,2.0
207,male,associate's degree,standard,none,married,sometimes,yes,0.0,school_bus,> 10,89,86,74,83.0,3.0
208,female,some high school,free/reduced,none,divorced,sometimes,no,3.0,school_bus,5 - 10,55,65,62,61.0,2.0
209,male,some high school,standard,none,married,regularly,no,3.0,school_bus,5 - 10,88,81,76,82.0,2.0
210,female,associate's degree,standard,completed,divorced,regularly,yes,3.0,school_bus,> 10,55,67,76,66.0,3.0
211,female,master's degree,free/reduced,none,married,sometimes,no,2.0,private,< 5,43,55,52,50.0,1.0
212,female,some college,standard,none,married,sometimes,yes,5.0,school_bus,5 - 10,72,72,71,72.0,2.0
213,male,high school,standard,none,single,regularly,yes,0.0,school_bus,5 - 10,58,50,55,54.0,2.0
214,male,associate's degree,free/reduced,none,divorced,sometimes,no,4.0,school_bus,5 - 10,68,72,64,68.0,2.0
215,female,some college,standard,completed,married,regularly,yes,3.0,school_bus,> 10,93,97,98,96.0,3.0
216,male,some college,standard,none,married,regularly,yes,0.0,school_bus,5 - 10,78,64,67,70.0,2.0
217,male,associate's degree,standard,none,married,regularly,yes,1.0,private,5 - 10,47,43,43,44.0,2.0
218,female,bachelor's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,67,86,83,79.0,2.0
219,male,some high school,standard,none,divorced,sometimes,yes,3.0,school_bus,> 10,94,88,79,87.0,3.0
220,male,bachelor's degree,standard,completed,married,sometimes,no,3.0,school_bus,> 10,85,83,85,84.0,3.0
221,male,associate's degree,standard,none,married,regularly,no,1.0,school_bus,> 10,84,77,80,80.0,3.0
222,male,bachelor's degree,free/reduced,none,divorced,regularly,no,2.0,school_bus,< 5,62,65,67,65.0,1.0
223,female,some high school,standard,none,married,sometimes,yes,4.0,school_bus,< 5,62,59,72,64.0,1.0
224,male,some college,standard,none,married,regularly,yes,2.0,private,> 10,57,53,53,54.0,3.0
226,male,high school,free/reduced,completed,divorced,never,yes,1.0,private,> 10,75,69,67,70.0,3.0
227,female,bachelor's degree,standard,none,single,regularly,no,4.0,private,5 - 10,82,84,85,84.0,2.0
228,male,some college,standard,none,single,regularly,no,2.0,school_bus,< 5,58,50,43,50.0,1.0
229,male,some high school,standard,none,divorced,regularly,yes,1.0,school_bus,< 5,74,73,69,72.0,1.0
230,male,associate's degree,standard,none,married,sometimes,no,3.0,private,< 5,82,74,69,75.0,1.0
231,male,associate's degree,standard,none,married,regularly,no,2.0,school_bus,5 - 10,91,77,75,81.0,2.0
232,female,high school,standard,completed,single,sometimes,yes,1.0,private,5 - 10,58,70,68,65.0,2.0
233,female,high school,standard,none,married,sometimes,yes,2.0,private,< 5,63,63,60,62.0,1.0
234,male,high school,standard,none,married,sometimes,no,2.0,school_bus,> 10,70,60,54,61.0,3.0
235,male,some high school,standard,completed,single,sometimes,yes,2.0,school_bus,5 - 10,47,49,49,48.0,2.0
236,female,some college,free/reduced,none,married,regularly,yes,4.0,school_bus,< 5,70,82,83,78.0,1.0
237,female,some high school,standard,completed,single,sometimes,yes,3.0,private,5 - 10,60,70,70,67.0,2.0
238,male,master's degree,standard,none,married,sometimes,no,3.0,school_bus,5 - 10,80,80,72,77.0,1.8977295694940375
239,male,high school,standard,none,married,sometimes,yes,0.0,private,5 - 10,54,52,52,53.0,2.0
240,female,some college,standard,none,single,sometimes,no,1.0,school_bus,5 - 10,62,73,70,68.0,2.0
241,female,associate's degree,free/reduced,none,single,sometimes,no,5.0,private,< 5,62,71,66,66.0,1.0
242,male,associate's degree,standard,completed,married,regularly,yes,1.0,school_bus,5 - 10,80,78,78,79.0,2.0
243,female,some high school,free/reduced,completed,married,sometimes,yes,1.0,private,> 10,65,80,78,74.0,3.0
244,male,some college,standard,completed,married,sometimes,no,2.0,school_bus,5 - 10,79,79,78,79.0,2.0
245,female,some high school,free/reduced,none,married,regularly,no,2.0,private,5 - 10,45,50,52,49.0,2.0
246,female,high school,standard,none,single,sometimes,yes,1.0,private,5 - 10,99,93,90,94.0,2.0
247,male,high school,standard,none,married,sometimes,no,2.0,private,5 - 10,76,73,68,72.0,2.0
248,male,some high school,free/reduced,none,divorced,sometimes,no,1.0,school_bus,< 5,57,41,40,46.0,1.0
249,female,bachelor's degree,standard,none,married,sometimes,no,2.0,school_bus,< 5,61,73,79,71.0,1.0
250,female,high school,standard,none,married,regularly,no,3.0,school_bus,5 - 10,71,73,78,74.0,2.0
251,female,associate's degree,standard,completed,married,regularly,yes,5.0,school_bus,> 10,93,94,99,95.0,3.0
252,female,some college,free/reduced,none,married,sometimes,no,2.0,school_bus,5 - 10,71,76,70,72.0,1.8977295694940375
253,male,bachelor's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,69,63,61,64.0,2.0
254,male,some college,standard,none,single,regularly,yes,1.0,school_bus,< 5,57,48,42,49.0,1.0
255,female,associate's degree,free/reduced,none,single,regularly,yes,2.0,private,5 - 10,48,53,59,53.0,2.0
256,female,some college,standard,none,married,sometimes,no,2.0,private,5 - 10,65,70,71,69.0,2.0
257,male,some college,standard,completed,widowed,never,yes,1.0,school_bus,< 5,85,83,74,81.0,1.0
258,male,bachelor's degree,standard,none,married,sometimes,no,3.0,school_bus,5 - 10,83,78,73,78.0,2.0
259,female,some high school,standard,completed,married,sometimes,yes,3.0,private,< 5,82,90,91,88.0,1.0
260,female,associate's degree,standard,completed,single,sometimes,no,4.0,school_bus,< 5,57,62,73,64.0,1.0
261,female,some high school,free/reduced,none,married,sometimes,yes,1.0,school_bus,5 - 10,65,86,80,77.0,2.0
262,male,bachelor's degree,free/reduced,none,widowed,sometimes,no,2.0,school_bus,5 - 10,73,56,57,62.0,2.0
263,male,high school,standard,none,divorced,sometimes,no,2.0,private,5 - 10,45,48,46,46.0,2.0
264,female,bachelor's degree,free/reduced,none,divorced,regularly,no,3.0,school_bus,5 - 10,75,80,86,80.0,2.0
266,female,some high school,standard,none,married,regularly,yes,0.0,private,< 5,36,45,46,42.0,1.0
267,male,associate's degree,standard,completed,married,never,yes,3.0,school_bus,5 - 10,78,80,79,79.0,2.0
268,male,associate's degree,standard,completed,married,regularly,yes,0.0,private,5 - 10,99,83,90,91.0,2.0
269,female,some high school,standard,none,married,sometimes,no,1.0,school_bus,< 5,64,87,80,77.0,1.0
270,male,bachelor's degree,free/reduced,none,single,sometimes,yes,0.0,school_bus,< 5,85,73,74,77.0,1.0
271,male,some high school,standard,completed,married,sometimes,yes,1.0,school_bus,> 10,79,77,78,78.0,3.0
272,male,associate's degree,standard,none,married,sometimes,no,2.0,school_bus,5 - 10,76,70,68,71.0,2.0
273,male,some high school,standard,none,married,sometimes,yes,2.0,private,< 5,83,71,68,74.0,1.0
274,male,some high school,standard,completed,married,never,yes,1.0,private,5 - 10,61,59,55,58.0,2.0
275,female,bachelor's degree,standard,none,married,sometimes,yes,2.0,school_bus,> 10,66,74,76,72.0,3.0
276,male,high school,free/reduced,completed,single,regularly,yes,3.0,school_bus,5 - 10,80,78,82,80.0,2.0
